oTime,o,h,l,c,v
2019-10-22T10:30:00,12121.0,12121.0,12000.0,12000.0,31751
2019-10-22T11:00:00,12000.0,12000.0,11201.0,11545.0,15180
2019-10-22T11:30:00,11990.0,11990.0,11989.0,11989.0,183
2019-10-22T12:00:00,11989.0,12000.0,11989.0,12000.0,33518
2019-10-23T09:30:00,11900.0,11900.0,11712.0,11712.0,1198
2019-10-23T10:00:00,11900.0,11900.0,11714.0,11714.0,3176
2019-10-23T10:30:00,11900.0,11900.0,11900.0,11900.0,1068
2019-10-23T11:00:00,11900.0,11900.0,11900.0,11900.0,92
2019-10-23T12:00:00,11800.0,11900.0,11800.0,11900.0,900
2019-10-23T12:30:00,12200.0,12200.0,12200.0,12200.0,900
2019-10-26T09:00:00,12012.0,12122.0,11900.0,11900.0,27980
2019-10-26T09:30:00,11900.0,11900.0,11301.0,11700.0,43232
2019-10-26T11:30:00,11569.0,11574.0,11566.0,11566.0,4447
2019-10-26T12:00:00,11651.0,11779.0,11567.0,11779.0,5000
2019-10-28T09:30:00,11970.0,11970.0,11970.0,11970.0,100
2019-10-28T10:00:00,11969.0,11969.0,11969.0,11969.0,180
2019-10-28T10:30:00,11830.0,11830.0,11830.0,11830.0,500
2019-10-28T11:00:00,11821.0,11821.0,11817.0,11817.0,1460
2019-10-28T11:30:00,11817.0,11950.0,11811.0,11811.0,2064
2019-10-28T12:00:00,11940.0,11940.0,11940.0,11940.0,2526
2019-10-30T11:00:00,11900.0,11950.0,11900.0,11901.0,4692
2019-10-30T11:30:00,11949.0,12000.0,11949.0,12000.0,31471
2019-10-30T12:00:00,12000.0,12000.0,11900.0,11900.0,44775
2019-11-02T09:00:00,12199.0,12199.0,11900.0,12000.0,3593
2019-11-02T09:30:00,11900.0,11900.0,11863.0,11899.0,7879
2019-11-02T10:00:00,11899.0,11899.0,11882.0,11882.0,2610
2019-11-02T10:30:00,11890.0,11890.0,11890.0,11890.0,2182
2019-11-02T11:00:00,11890.0,11899.0,11875.0,11875.0,8470
2019-11-02T11:30:00,11899.0,11899.0,11890.0,11890.0,3793
2019-11-02T12:00:00,11890.0,11890.0,11864.0,11864.0,8818
2019-11-03T09:30:00,11981.0,11981.0,11902.0,11975.0,26449
2019-11-03T10:00:00,11903.0,11949.0,11902.0,11902.0,10609
2019-11-03T10:30:00,11949.0,11950.0,11902.0,11950.0,19731
